投票区,番号,住所,備考,名称
101,1,大阪府吹田市泉町１丁目３－４０,吹田市役所前,101-1 吹田市役所前
101,2,大阪府吹田市泉町１丁目３－４０,吹田市役所東玄関前,101-2 吹田市役所東玄関前
101,3,大阪府吹田市出口町１９,吹田市保健所下空地東面フェンス,101-3 吹田市保健所下空地東面フェンス
101,4,大阪府吹田市泉町２丁目１０,空地西面（テニスコート横）,101-4 空地西面（テニスコート横）
101,5,大阪府吹田市泉町２丁目２６,いずみ南公園東面,101-5 いずみ南公園東面
101,6,大阪府吹田市泉町５丁目１３の前,阪急電車フェンス,101-6 阪急電車フェンス
101,7,大阪府吹田市西の庄町１０－１,泉殿宮西面,101-7 泉殿宮西面
102,1,大阪府吹田市泉町３丁目１５－１８,吹田第二小学校南面,102-1 吹田第二小学校南面
102,2,大阪府吹田市泉町４丁目４１番１０号,西吹田幼稚園東面,102-2 西吹田幼稚園東面
102,3,大阪府吹田市金田町２０,金田はと笛遊園,102-3 金田はと笛遊園
102,4,大阪府吹田市穂波町８,穂波公園北面,102-4 穂波公園北面
102,5,大阪府吹田市穂波町１１－６,(株)きんでん北摂営業所西面,102-5 (株)きんでん北摂営業所西面
102,6,大阪府吹田市穂波町１５－３０,南保育園東面,102-6 南保育園東面
102,7,大阪府吹田市穂波町１６－１,第六中学校西面,102-7 第六中学校西面
102,8,大阪府吹田市穂波町１６－１,第六中学校北面,102-8 第六中学校北面
103,1,大阪府吹田市南金田１丁目１２,南吹田公園東面,103-1 南吹田公園東面
103,2,大阪府吹田市南金田１丁目１２,南吹田公園西面,103-2 南吹田公園西面
103,3,大阪府吹田市南吹田１丁目９－２１,上新田公園植栽,103-3 上新田公園植栽
103,4,大阪府吹田市南金田２丁目９,南金田公園西面,103-4 南金田公園西面
103,5,大阪府吹田市南吹田２丁目１７,（株）プロテリアル金属厚生センター西面,103-5 （株）プロテリアル金属厚生センター西面
103,6,大阪府吹田市南吹田３丁目３－６０,水道部庁舎南面,103-6 水道部庁舎南面
103,7,大阪府吹田市南吹田５丁目５,下新田公園南面,103-7 下新田公園南面
103,8,大阪府吹田市南吹田５丁目１２－１,吹田南小学校西面,103-8 吹田南小学校西面
103,9,大阪府吹田市南吹田５丁目５,下新田公園北面,103-9 下新田公園北面
104,1,大阪府吹田市清和園町１１の前,阪急電車フェンス,104-1 阪急電車フェンス
104,2,大阪府吹田市南清和園町４３－１,吹田第六小学校南面フェンス,104-2 吹田第六小学校南面フェンス
104,3,大阪府吹田市南清和園町４３－１,吹田第六小学校通用門横,104-3 吹田第六小学校通用門横
104,4,大阪府吹田市南清和園町２の前,阪急電車フェンス,104-4 阪急電車フェンス
104,5,大阪府吹田市川岸町６－４３,トップ産業(株)物流センター東面,104-5 トップ産業(株)物流センター東面
104,6,大阪府吹田市川岸町１３,川岸公園南面,104-6 川岸公園南面
104,7,大阪府吹田市川岸町１９,川面下水処理場前グラウンドフェンス北面,104-7 川面下水処理場前グラウンドフェンス北面
105,1,大阪府吹田市寿町１丁目２,やなぎ遊園,105-1 やなぎ遊園
105,2,大阪府吹田市寿町１丁目１６,寄町遊園,105-2 寄町遊園
105,3,大阪府吹田市寿町１丁目１９の前,阪急電車フェンス,105-3 阪急電車フェンス
105,4,大阪府吹田市寿町２丁目５－１,(株)今村フェンス,105-4 (株)今村フェンス
105,5,大阪府吹田市寿町２丁目８－１６,寿町児童センターフェンス,105-5 寿町児童センターフェンス
105,6,大阪府吹田市中の島町６,中の島公園北面フェンス（第３中学校横）,105-6 中の島公園北面フェンス（第３中学校横）
105,7,大阪府吹田市中の島町５,中の島公園入口左側,105-7 中の島公園入口左側
106,1,大阪府吹田市内本町２丁目１３の前,植樹帯（住宅前）,106-1 植樹帯（住宅前）
106,2,大阪府吹田市内本町2丁目2番５号,旭トゥーレ前植栽,106-2 旭トゥーレ前植栽
106,3,大阪府吹田市内本町２丁目２－１２,植込み(内本町コミュニティセンター),106-3 植込み(内本町コミュニティセンター)
106,4,大阪府吹田市内本町３丁目３４－４１,吹田市有川面墓地フェンス,106-4 吹田市有川面墓地フェンス
106,5,大阪府吹田市内本町３丁目３５,大幸薬品前植込み,106-5 大幸薬品前植込み
106,6,大阪府吹田市内本町３丁目２９,馬廻第一緑道南面,106-6 馬廻第一緑道南面
106,7,大阪府吹田市寿町１丁目５－５,吹田簡易裁判所前フェンス,106-7 吹田簡易裁判所前フェンス
107,1,大阪府吹田市元町１２,植樹帯（三井のリパーク前）,107-1 植樹帯（三井のリパーク前）
107,2,大阪府吹田市内本町１丁目２２の前,植樹帯（トロスモータープール前）,107-2 植樹帯（トロスモータープール前）
107,3,大阪府吹田市内本町１丁目１１－７,吹一地区老人いこいの間,107-3 吹一地区老人いこいの間
107,4,大阪府吹田市元町１－１,ＪＲ吹田駅前西自転車置場,107-4 ＪＲ吹田駅前西自転車置場
107,5,大阪府吹田市元町３０－３５,吹田第一小学校北面,107-5 吹田第一小学校北面
107,6,大阪府吹田市元町３０－３５,吹田第一小学校東面,107-6 吹田第一小学校東面
107,7,大阪府吹田市元町３１,吹一公園南面,107-7 吹一公園南面
108,1,大阪府吹田市高浜町５,植樹帯（高浜神社駐車場横）,108-1 植樹帯（高浜神社駐車場横）
108,2,大阪府吹田市高浜町５,空地（高浜神社北側）,108-2 空地（高浜神社北側）
108,3,大阪府吹田市南高浜町９－１６の前,安威川フェンス,108-3 安威川フェンス
108,4,大阪府吹田市南高浜町２１－１０の前,安威川フェンス,108-4 安威川フェンス
